order_id,customer_id,product_id,order_date,ship_date,quantity,unit_price,discount_pct,total_amount,payment_method,order_status
500070,1066,P1072,2024-04-11,2024-04-16,3,208.57,5,594.42,PayPal,Delivered
500071,1061,P1006,2024-12-31,2025-01-03,1,89.99,5,85.49,Cash,Cancelled
500072,1079,P1020,2024-03-12,2024-03-15,5,39.99,20,159.96,Mastercard,Pending
500073,1065,P1051,2024-10-30,2024-11-02,5,34.78,10,156.51,Cash,Cancelled
500074,1003,P1091,2024-08-31,2024-09-07,5,219.41,10,987.35,Mastercard,Shipped
500075,1093,P1087,2024-10-25,2024-10-28,1,424.36,15,360.71,Apple Pay,Delivered
500076,1100,P1077,2025-05-10,2025-05-16,4,253.77,10,913.57,Cash,Pending
500077,1068,P1093,2024-09-02,2024-09-04,1,73.89,20,59.11,Apple Pay,Cancelled
500078,1015,P1019,2024-10-20,2024-10-26,2,899.99,0,1799.98,Visa,Delivered
500079,1089,P1057,2024-03-18,2024-03-22,3,74.67,15,190.41,Visa,Cancelled
500080,1095,P1065,2025-03-22,2025-03-29,5,230.51,15,979.67,Apple Pay,Delivered
500081,1042,P1091,2024-04-16,2024-04-21,2,219.41,20,351.06,Apple Pay,Cancelled
500082,1059,P1068,2025-05-04,2025-05-06,4,598.11,10,2153.20,Cash,Shipped
500083,1025,P1070,2024-11-08,2024-11-12,3,366.62,10,989.87,Visa,Shipped
500084,1099,P1072,2025-04-27,2025-04-30,3,208.57,5,594.42,Mastercard,Pending
500085,1072,P1089,2024-09-02,2024-09-05,4,31.37,10,112.93,Apple Pay,Shipped
500086,1049,P1037,2024-12-12,2024-12-17,1,667.72,20,534.18,PayPal,Shipped
500087,1092,P1099,2024-01-22,2024-01-25,2,501.43,10,902.57,Credit Card,Shipped
500088,1069,P1057,2024-04-19,2024-04-21,3,74.67,15,190.41,Mastercard,Shipped
500089,1031,P1018,2025-01-14,2025-01-19,1,699.99,20,559.99,Visa,Delivered
500090,1007,P1086,2024-11-22,2024-11-24,5,487.27,5,2314.53,Credit Card,Cancelled
500091,1018,P1043,2024-12-14,2024-12-21,4,446.92,0,1787.68,Credit Card,Pending
500092,1097,P1053,2024-11-29,2024-12-01,4,111.91,15,380.49,Mastercard,Shipped
500093,1030,P1037,2024-11-29,2024-12-04,1,667.72,0,667.72,Cash,Delivered
500094,1051,P1023,2025-04-23,2025-04-24,4,433.64,5,1647.83,PayPal,Pending
500095,1073,P1096,2024-01-05,2024-01-08,3,137.01,0,411.03,Cash,Delivered
500096,1068,P1043,2024-11-24,2024-11-29,3,446.92,15,1139.65,PayPal,Pending
500097,1015,P1065,2024-04-08,2024-04-15,4,230.51,10,829.84,Mastercard,Pending
500098,1002,P1094,2025-01-02,2025-01-04,4,536.74,10,1932.26,Apple Pay,Shipped
500099,1082,P1038,2024-03-30,2024-04-04,5,77.27,5,367.03,PayPal,Cancelled
500100,1013,P1066,2024-07-24,2024-07-30,3,398.09,0,1194.27,Visa,Pending
500101,1050,P1062,2024-01-04,2024-01-07,3,310.82,5,885.84,Visa,Cancelled
500102,1093,P1097,2024-06-03,2024-06-08,3,408.86,10,1103.92,Cash,Delivered
500103,1016,P1034,2024-02-01,2024-02-07,3,310.29,5,884.33,PayPal,Shipped
500104,1099,P1020,2025-04-17,2025-04-23,4,39.99,20,127.97,Mastercard,Delivered
500105,1029,P1082,2024-11-10,2024-11-12,3,552.11,10,1490.70,Visa,Cancelled
500106,1090,P1020,2024-07-10,2024-07-14,4,39.99,20,127.97,Cash,Cancelled
500107,1088,P1097,2025-01-25,2025-01-27,5,408.86,5,1942.09,Cash,Delivered
500108,1010,P1068,2024-12-26,2024-12-29,4,598.11,20,1913.95,Cash,Delivered
500109,1069,P1008,2024-04-13,2024-04-18,5,39.95,20,159.80,Visa,Pending
500110,1027,P1042,2024-02-29,2024-03-06,5,508.12,15,2159.51,Apple Pay,Cancelled
500111,1059,P1012,2025-02-18,2025-02-19,5,12.00,15,51.00,Visa,Cancelled
500112,1087,P1059,2024-10-13,2024-10-17,5,266.82,0,1334.10,Mastercard,Delivered
500113,1075,P1051,2025-01-16,2025-01-18,3,34.78,0,104.34,Credit Card,Delivered
500114,1009,P1055,2024-10-04,2024-10-05,3,385.52,0,1156.56,PayPal,Delivered
500115,1099,P1037,2025-01-28,2025-01-30,4,667.72,5,2537.34,Apple Pay,Cancelled
500116,1049,P1048,2025-03-21,2025-03-25,4,113.82,15,386.99,Credit Card,Pending
500117,1051,P1084,2024-04-01,2024-04-06,3,420.94,0,1262.82,Cash,Pending
500118,1039,P1094,2025-01-22,2025-01-23,2,536.74,0,1073.48,PayPal,Cancelled
500119,1045,P1069,2024-05-06,2024-05-10,4,273.36,5,1038.77,Visa,Shipped
500120,1054,P1025,2025-02-18,2025-02-24,1,452.19,0,452.19,Cash,Delivered
500121,1005,P1031,2024-02-21,2024-02-26,2,45.96,0,91.92,PayPal,Delivered
500122,1070,P1032,2024-08-12,2024-08-14,1,43.04,15,36.58,Visa,Delivered
500123,1094,P1018,2024-04-29,2024-05-06,5,699.99,10,3149.95,Cash,Shipped
500124,1019,P1074,2024-05-01,2024-05-04,5,98.85,10,444.82,Apple Pay,Pending
500125,1076,P1053,2024-02-01,2024-02-06,3,111.91,10,302.16,Apple Pay,Pending
500126,1045,P1081,2024-09-10,2024-09-11,4,33.20,20,106.24,Apple Pay,Cancelled
500127,1039,P1068,2024-07-28,2024-07-30,3,598.11,15,1525.18,PayPal,Pending
500128,1029,P1097,2024-05-03,2024-05-10,5,408.86,15,1737.66,Mastercard,Pending
500129,1072,P1060,2024-07-30,2024-08-03,1,542.28,20,433.82,Cash,Pending
500130,1083,P1050,2024-04-14,2024-04-17,2,249.40,10,448.92,Credit Card,Cancelled
500131,1025,P1048,2025-01-05,2025-01-12,1,113.82,20,91.06,Credit Card,Shipped
500132,1010,P1049,2024-01-21,2024-01-28,5,305.82,20,1223.28,Visa,Pending
500133,1028,P1062,2024-06-04,2024-06-05,2,310.82,10,559.48,Visa,Delivered
500134,1091,P1096,2024-12-22,2024-12-27,4,137.01,5,520.64,Visa,Cancelled
500135,1049,P1031,2025-02-01,2025-02-04,5,45.96,10,206.82,PayPal,Shipped
500136,1060,P1040,2024-09-19,2024-09-23,3,651.16,10,1758.13,Credit Card,Cancelled
500137,1053,P1098,2024-07-08,2024-07-11,3,550.66,5,1569.38,Credit Card,Pending
500138,1075,P1095,2024-05-13,2024-05-18,2,413.90,0,827.80,Cash,Cancelled
500139,1049,P1038,2024-06-17,2024-06-19,2,77.27,5,146.81,Cash,Pending
500140,1063,P1064,2024-05-11,2024-05-18,5,467.35,10,2103.08,Apple Pay,Cancelled
500141,1093,P1059,2024-03-27,2024-03-29,2,266.82,10,480.28,Cash,Cancelled
500142,1010,P1024,2024-09-25,2024-09-26,5,430.88,0,2154.40,Apple Pay,Delivered
500143,1081,P1098,2024-03-11,2024-03-18,1,550.66,15,468.06,Visa,Delivered
500144,1059,P1091,2024-04-21,2024-04-26,2,219.41,0,438.82,Mastercard,Delivered
500145,1003,P1080,2024-12-03,2024-12-07,5,134.08,15,569.84,Credit Card,Cancelled
500146,1069,P1002,2025-01-04,2025-01-07,1,29.99,20,23.99,Mastercard,Delivered
500147,1068,P1065,2024-02-24,2024-02-25,4,230.51,5,875.94,Visa,Pending
500148,1046,P1025,2024-05-09,2024-05-16,5,452.19,20,1808.76,Mastercard,Cancelled
500149,1032,P1011,2024-08-23,2024-08-28,3,3.49,15,8.90,Apple Pay,Pending
500150,1049,P1039,2024-02-17,2024-02-21,1,393.83,0,393.83,PayPal,Cancelled
500151,1056,P1008,2024-02-12,2024-02-16,1,39.95,5,37.95,Apple Pay,Shipped
500152,1030,P1073,2025-04-15,2025-04-16,1,64.37,20,51.50,Visa,Cancelled
500153,1070,P1035,2024-12-16,2024-12-19,1,397.51,0,397.51,Cash,Delivered
500154,1076,P1023,2025-05-07,2025-05-09,3,433.64,0,1300.92,Visa,Cancelled
500155,1073,P1010,2024-10-15,2024-10-17,3,120.00,5,342.00,PayPal,Shipped
500156,1045,P1050,2024-09-13,2024-09-19,2,249.40,0,498.80,Credit Card,Delivered
500157,1099,P1056,2024-06-23,2024-06-28,2,19.33,0,38.66,Cash,Cancelled
500158,1058,P1100,2024-11-20,2024-11-23,3,36.84,0,110.52,PayPal,Pending
500159,1088,P1046,2024-08-09,2024-08-11,5,66.99,15,284.71,Cash,Cancelled
500160,1092,P1011,2025-02-12,2025-02-14,5,3.49,10,15.71,Credit Card,Delivered
500161,1082,P1035,2024-12-30,2025-01-06,2,397.51,15,675.77,Visa,Cancelled
500162,1040,P1041,2024-02-16,2024-02-17,3,364.73,0,1094.19,PayPal,Shipped
500163,1024,P1098,2024-03-08,2024-03-09,3,550.66,0,1651.98,PayPal,Cancelled
500164,1004,P1072,2024-07-27,2024-07-28,5,208.57,20,834.28,Credit Card,Shipped
500165,1042,P1071,2024-11-02,2024-11-09,1,43.78,20,35.02,PayPal,Delivered
500166,1093,P1038,2025-02-02,2025-02-03,4,77.27,15,262.72,Cash,Pending
500167,XYZ,P1074,2024-12-16,2024-12-20,5,98.85,5,469.54,Visa,Shipped
500168,XYZ,P1039,2024-03-15,2024-03-16,3,393.83,15,1004.27,PayPal,Shipped
500169,1047,P1054,2025-02-04,2025-02-05,3,63.24,15,161.26,Mastercard,Pending
500170,1059,P1093,2024-11-11,2024-11-13,4,73.89,20,236.45,Credit Card,Pending
500171,1080,P1039,2024-06-19,2024-06-26,1,393.83,15,334.76,PayPal,Shipped
500172,1084,P1057,2025-02-21,2025-02-28,3,74.67,15,190.41,Cash,Pending
500173,1026,P1039,2025-04-30,2025-05-06,3,393.83,20,945.19,PayPal,Shipped
500174,1089,P1023,2024-05-29,2024-06-04,4,433.64,10,1561.10,Apple Pay,Cancelled
500175,1051,P1074,2024-07-11,2024-07-14,2,98.85,10,177.93,Mastercard,Delivered
500176,1088,P1073,2024-10-06,2024-10-08,2,64.37,20,102.99,Cash,Delivered
500177,1038,P1094,2024-08-12,2024-08-19,4,536.74,5,2039.61,Apple Pay,Delivered
500178,1031,P1053,2024-11-20,2024-11-23,4,111.91,5,425.26,Mastercard,Pending
500179,1077,P1092,2024-02-07,2024-02-11,4,635.01,15,2159.03,PayPal,Cancelled
500180,1047,P1069,2024-10-05,2024-10-06,5,273.36,15,1161.78,Apple Pay,Delivered
500181,1079,P1014,2024-03-26,2024-04-01,2,129.99,10,233.98,Credit Card,Cancelled
500182,1013,P1097,2024-02-24,2024-02-25,3,408.86,15,1042.59,Mastercard,Pending
500183,1074,P1066,2024-10-24,2024-10-30,5,398.09,20,1592.36,Visa,Cancelled
500184,1076,P1048,2025-01-30,2025-02-05,4,113.82,15,386.99,Apple Pay,Pending
500185,1054,P1045,2024-02-23,2024-02-26,1,576.26,15,489.82,Credit Card,Delivered
500186,1059,P1094,2024-06-08,2024-06-11,2,536.74,10,966.13,Visa,Cancelled
500187,1090,P1045,2024-08-12,2024-08-18,4,576.26,0,2305.04,PayPal,Shipped
500188,1015,P1009,2025-02-18,2025-02-24,3,49.00,0,147.00,Credit Card,Shipped
500189,1032,P1083,2025-04-21,2025-04-27,1,294.24,5,279.53,Cash,Pending
500190,1060,P1071,2024-10-13,2024-10-17,2,43.78,10,78.80,Visa,Cancelled
500191,1056,P1081,2024-11-23,2024-11-29,2,33.20,5,63.08,PayPal,Delivered
500192,1055,P1095,2024-08-18,2024-08-23,5,413.90,5,1966.02,PayPal,Delivered
500193,1091,P1091,2024-05-22,2024-05-29,2,219.41,5,416.88,Credit Card,Delivered
500194,1059,P1069,2024-06-15,2024-06-17,2,273.36,10,492.05,Credit Card,Shipped
500195,1041,P1086,2025-05-09,2025-05-15,4,487.27,20,1559.26,Cash,Cancelled
500196,1046,P1079,2024-02-28,2024-03-02,4,506.57,20,1621.02,PayPal,Pending
500197,1087,P1087,2024-10-29,2024-10-30,3,424.36,20,1018.46,Visa,Shipped
500198,1048,P1016,2024-02-29,2024-03-02,2,499.99,10,899.98,Apple Pay,Pending
500199,1074,P1066,2024-11-01,2024-11-03,4,398.09,15,1353.51,PayPal,Cancelled
500200,1023,P1024,2024-12-21,2024-12-27,4,430.88,20,1378.82,Cash,Pending
